year,viv_type,risk,age_bin,mean,sd
2029,tavi_in_savr,ih,<60,27.6,4.627150993407225
2029,tavi_in_savr,low,60-64,155.35,8.82147499302875
2029,tavi_in_savr,low,65-69,163.55,14.926045762534134
2029,tavi_in_savr,low,70-74,66.0,6.882472016116856
2029,tavi_in_savr,low,75-79,50.6,8.286958682805553
2029,tavi_in_savr,low,80-84,1.5714285714285714,0.8516306272526402
2029,tavi_in_savr,low,85-99,1.3333333333333333,0.5163977794943223
2029,tavi_in_savr,low,<60,313.15,14.434151753466677
2029,tavi_in_tavi,ih,60-64,1.5,0.7595545253127499
2029,tavi_in_tavi,ih,65-69,2.3684210526315788,1.1647854507156374
2029,tavi_in_tavi,ih,70-74,3.6,1.9303667499917427
2029,tavi_in_tavi,ih,75-79,137.25,10.259142264341598
2029,tavi_in_tavi,ih,80-84,4.473684210526316,1.8669172764102495
2029,tavi_in_tavi,ih,85-99,7.7,2.8855356157000878
2029,tavi_in_tavi,ih,<60,3.05,1.5719582155957414
2029,tavi_in_tavi,low,60-64,2.375,1.0878112581387145
2029,tavi_in_tavi,low,65-69,2.8,1.5078740698501039
2029,tavi_in_tavi,low,70-74,4.05,1.5719582155957417
2029,tavi_in_tavi,low,75-79,142.05,10.530532050336197
2029,tavi_in_tavi,low,80-84,3.8,1.7044832524535807
2029,tavi_in_tavi,low,85-99,2.5,1.414213562373095
2029,tavi_in_tavi,low,<60,2.9,1.4832396974191329
2030,tavi_in_savr,ih,60-64,8.45,2.9464519251751615
2030,tavi_in_savr,ih,65-69,7.9,3.041813863297255
2030,tavi_in_savr,ih,70-74,2.1176470588235294,1.1114378604524227
2030,tavi_in_savr,ih,75-79,12.75,2.8996370008747827
2030,tavi_in_savr,ih,80-84,1.0,
2030,tavi_in_savr,ih,85-99,1.0,0.0
2030,tavi_in_savr,ih,<60,21.65,5.537194805656514
2030,tavi_in_savr,low,60-64,151.35,12.570956501731327
2030,tavi_in_savr,low,65-69,147.9,9.502908142137054
2030,tavi_in_savr,low,70-74,63.15,7.7137948883119405
2030,tavi_in_savr,low,75-79,62.45,9.63259269902258
2030,tavi_in_savr,low,80-84,1.5454545454545454,0.5222329678670935
2030,tavi_in_savr,low,85-99,1.0,0.0
2030,tavi_in_savr,low,<60,289.95,20.441122123900403
2030,tavi_in_tavi,ih,60-64,1.5384615384615385,0.7762500258061847
2030,tavi_in_tavi,ih,65-69,1.7857142857142858,0.6992932067530679
2030,tavi_in_tavi,ih,70-74,1.8421052631578947,0.898341551894183
2030,tavi_in_tavi,ih,75-79,158.3,8.915391776378414
2030,tavi_in_tavi,ih,80-84,2.3684210526315788,1.0651304727481081
2030,tavi_in_tavi,ih,85-99,3.5,1.2354415362426845
2030,tavi_in_tavi,ih,<60,2.8947368421052633,1.8225359878204286
2030,tavi_in_tavi,low,60-64,2.473684210526316,1.3891812557774845
2030,tavi_in_tavi,low,65-69,3.526315789473684,1.9255135260966845
2030,tavi_in_tavi,low,70-74,4.0,1.9999999999999998
2030,tavi_in_tavi,low,75-79,178.7,18.151699934890832
2030,tavi_in_tavi,low,80-84,4.4,1.429022485182754
2030,tavi_in_tavi,low,85-99,1.9230769230769231,1.1151635501529555
2030,tavi_in_tavi,low,<60,3.5,1.7320508075688774
2031,tavi_in_savr,ih,60-64,4.368421052631579,2.4991226530700166
2031,tavi_in_savr,ih,65-69,4.25,1.5852942612451613
2031,tavi_in_savr,ih,70-74,1.7142857142857142,1.1126972805283735
2031,tavi_in_savr,ih,75-79,14.8,2.966479394838265
2031,tavi_in_savr,ih,80-84,1.0,0.0
2031,tavi_in_savr,ih,85-99,1.0,0.0
2031,tavi_in_savr,ih,<60,13.45,3.804083678309265
2031,tavi_in_savr,low,60-64,134.45,10.816532180928075
2031,tavi_in_savr,low,65-69,131.7,10.578528402282366
2031,tavi_in_savr,low,70-74,61.6,8.2487638627347
2031,tavi_in_savr,low,75-79,80.75,6.980235254669166
2031,tavi_in_savr,low,80-84,1.1428571428571428,0.3779644730092272
2031,tavi_in_savr,low,<60,270.9,13.234325385944393
2031,tavi_in_tavi,ih,60-64,1.1428571428571428,0.3779644730092272
2031,tavi_in_tavi,ih,65-69,1.75,1.164964745021435
2031,tavi_in_tavi,ih,70-74,1.4166666666666667,0.9962049198956219
2031,tavi_in_tavi,ih,75-79,174.85,14.890035523622394
2031,tavi_in_tavi,ih,80-84,1.6923076923076923,1.031553471276484
2031,tavi_in_tavi,ih,85-99,2.0588235294117645,1.3449251017851382
2031,tavi_in_tavi,ih,<60,1.7857142857142858,0.6992932067530679
2031,tavi_in_tavi,low,60-64,1.9,1.020835571068081
