year,sex,age_band,population
2040,Men,30-34,1293000
2040,Men,35-39,1367000
2040,Men,40-44,1716000
2040,Men,45-49,1878000
2040,Men,5-9,655000
2040,Men,50-54,1671000
2040,Men,55-59,1908000
2040,Men,60-64,1864000
2040,Men,65-69,1995000
2040,Men,70-74,1846000
2040,Men,75-79,1603000
2040,Men,80-84,1173000
2040,Men,≥85,841000
2040,Women,0-4,584000
2040,Women,10-14,639000
2040,Women,15-19,650000
2040,Women,20-24,996000
2040,Women,25-29,1281000
2040,Women,30-34,1242000
2040,Women,35-39,1280000
2040,Women,40-44,1566000
2040,Women,45-49,1640000
2040,Women,5-9,626000
2040,Women,50-54,1522000
2040,Women,55-59,1832000
2040,Women,60-64,1861000
2040,Women,65-69,2071000
2040,Women,70-74,2030000
2040,Women,75-79,1866000
2040,Women,80-84,1540000
2040,Women,≥85,1594000
2041,Men,0-4,612000
2041,Men,10-14,669000
2041,Men,15-19,667000
2041,Men,20-24,954000
2041,Men,25-29,1302000
2041,Men,30-34,1305000
2041,Men,35-39,1298000
2041,Men,40-44,1652000
2041,Men,45-49,1886000
2041,Men,5-9,647000
2041,Men,50-54,1690000
2041,Men,55-59,1824000
2041,Men,60-64,1901000
2041,Men,65-69,1928000
2041,Men,70-74,1883000
2041,Men,75-79,1581000
2041,Men,80-84,1240000
2041,Men,≥85,907000
2041,Women,0-4,580000
2041,Women,10-14,642000
2041,Women,15-19,644000
2041,Women,20-24,919000
2041,Women,25-29,1258000
2041,Women,30-34,1256000
2041,Women,35-39,1226000
2041,Women,40-44,1524000
2041,Women,45-49,1646000
2041,Women,5-9,618000
2041,Women,50-54,1528000
2041,Women,55-59,1739000
2041,Women,60-64,1891000
2041,Women,65-69,1998000
2041,Women,70-74,2069000
2041,Women,75-79,1825000
2041,Women,80-84,1624000
2041,Women,≥85,1697000
2042,Men,0-4,610000
2042,Men,10-14,670000
2042,Men,15-19,666000
2042,Men,20-24,889000
2042,Men,25-29,1253000
2042,Men,30-34,1310000
2042,Men,35-39,1270000
2042,Men,40-44,1572000
2042,Men,45-49,1863000
2042,Men,5-9,638000
2042,Men,50-54,1732000
2042,Men,55-59,1740000
2042,Men,60-64,1938000
2042,Men,65-69,1861000
2042,Men,70-74,1915000
2042,Men,75-79,1567000
2042,Men,80-84,1288000
2042,Men,≥85,975000
2042,Women,0-4,578000
2042,Women,10-14,643000
2042,Women,15-19,643000
2042,Women,20-24,858000
2042,Women,25-29,1214000
2042,Women,30-34,1264000
2042,Women,35-39,1211000
2042,Women,40-44,1458000
2042,Women,45-49,1634000
2042,Women,5-9,610000
2042,Women,50-54,1553000
2042,Women,55-59,1648000
2042,Women,60-64,1920000
2042,Women,65-69,1928000
2042,Women,70-74,2094000
2042,Women,75-79,1807000
2042,Women,80-84,1681000
2042,Women,≥85,1798000
2043,Men,0-4,609000
2043,Men,10-14,668000
2043,Men,15-19,671000
2043,Men,20-24,838000
2043,Men,25-29,1195000
2043,Men,30-34,1302000
2043,Men,35-39,1265000
2043,Men,40-44,1490000
2043,Men,45-49,1815000
2043,Men,5-9,630000
2043,Men,50-54,1784000
2043,Men,55-59,1674000
2043,Men,60-64,1955000
2043,Men,65-69,1809000
2043,Men,70-74,1919000
2043,Men,75-79,1580000
2043,Men,80-84,1313000
2043,Men,≥85,1047000
2043,Women,0-4,577000
2043,Women,10-14,641000
2043,Women,15-19,648000
2043,Women,20-24,810000
2043,Women,25-29,1158000
2043,Women,30-34,1259000
2043,Women,35-39,1215000
2043,Women,40-44,1385000
2043,Women,45-49,1611000
2043,Women,5-9,602000
2043,Women,50-54,1584000
2043,Women,55-59,1572000
2043,Women,60-64,1932000
2043,Women,65-69,1870000
2043,Women,70-74,2084000
2043,Women,75-79,1834000
2043,Women,80-84,1705000
2043,Women,≥85,1908000
2044,Men,0-4,609000
2044,Men,10-14,663000
2044,Men,15-19,680000
2044,Men,20-24,799000
2044,Men,25-29,1131000
2044,Men,30-34,1292000
2044,Men,35-39,1256000
2044,Men,40-44,1418000
2044,Men,45-49,1755000
2044,Men,5-9,622000
2044,Men,50-54,1828000
2044,Men,55-59,1644000
2044,Men,60-64,1930000
2044,Men,65-69,1777000
2044,Men,70-74,1903000
2044,Men,75-79,1617000
2044,Men,80-84,1319000
2044,Men,≥85,1119000
2044,Women,0-4,577000
2044,Women,10-14,637000
2044,Women,15-19,656000
2044,Women,20-24,774000
2044,Women,25-29,1097000
2044,Women,30-34,1252000
2044,Women,35-39,1211000
2044,Women,40-44,1324000
2044,Women,45-49,1584000
2044,Women,5-9,595000
2044,Women,50-54,1612000
2044,Women,55-59,1528000
2044,Women,60-64,1897000
2044,Women,65-69,1829000
2044,Women,70-74,2057000
2044,Women,75-79,1885000
2044,Women,80-84,1703000
2044,Women,≥85,2025000
2045,Men,0-4,609000
2045,Men,10-14,656000
2045,Men,15-19,685000
2045,Men,20-24,778000
2045,Men,25-29,1054000
2045,Men,30-34,1281000
2045,Men,35-39,1255000
2045,Men,40-44,1342000
2045,Men,45-49,1696000
2045,Men,5-9,617000
2045,Men,50-54,1857000
2045,Men,55-59,1644000
2045,Men,60-64,1861000
2045,Men,65-69,1786000
2045,Men,70-74,1866000
2045,Men,75-79,1656000
2045,Men,80-84,1308000
2045,Men,≥85,1201000
2045,Women,0-4,577000
2045,Women,10-14,630000
2045,Women,15-19,661000
2045,Women,20-24,755000
2045,Women,25-29,1024000
2045,Women,30-34,1245000
2045,Women,35-39,1212000
2045,Women,40-44,1262000
2045,Women,45-49,1554000
2045,Women,5-9,589000
