year,sex,age_band,population
2031,Men,50-54,781000
2031,Men,55-59,920000
2031,Men,60-64,989000
2031,Men,65-69,726000
2031,Men,70-74,541000
2031,Men,75-79,275000
2031,Men,80-84,166000
2031,Men,≥85,94000
2031,Women,0-4,745000
2031,Women,10-14,828000
2031,Women,15-19,800000
2031,Women,20-24,779000
2031,Women,25-29,825000
2031,Women,30-34,928000
2031,Women,35-39,971000
2031,Women,40-44,925000
2031,Women,45-49,863000
2031,Women,5-9,811000
2031,Women,50-54,780000
2031,Women,55-59,939000
2031,Women,60-64,1036000
2031,Women,65-69,797000
2031,Women,70-74,634000
2031,Women,75-79,355000
2031,Women,80-84,265000
2031,Women,≥85,211000
2032,Men,0-4,772000
2032,Men,10-14,874000
2032,Men,15-19,848000
2032,Men,20-24,812000
2032,Men,25-29,840000
2032,Men,30-34,944000
2032,Men,35-39,997000
2032,Men,40-44,959000
2032,Men,45-49,885000
2032,Men,5-9,847000
2032,Men,50-54,793000
2032,Men,55-59,857000
2032,Men,60-64,998000
2032,Men,65-69,773000
2032,Men,70-74,549000
2032,Men,75-79,314000
2032,Men,80-84,153000
2032,Men,≥85,98000
2032,Women,0-4,729000
2032,Women,10-14,828000
2032,Women,15-19,806000
2032,Women,20-24,776000
2032,Women,25-29,806000
2032,Women,30-34,911000
2032,Women,35-39,967000
2032,Women,40-44,938000
2032,Women,45-49,872000
2032,Women,5-9,800000
2032,Women,50-54,792000
2032,Women,55-59,874000
2032,Women,60-64,1044000
2032,Women,65-69,846000
2032,Women,70-74,643000
2032,Women,75-79,403000
2032,Women,80-84,241000
2032,Women,≥85,214000
2033,Men,0-4,755000
2033,Men,10-14,872000
2033,Men,15-19,855000
2033,Men,20-24,811000
2033,Men,25-29,826000
2033,Men,30-34,924000
2033,Men,35-39,990000
2033,Men,40-44,971000
2033,Men,45-49,895000
2033,Men,5-9,834000
2033,Men,50-54,809000
2033,Men,55-59,803000
2033,Men,60-64,989000
2033,Men,65-69,816000
2033,Men,70-74,554000
2033,Men,75-79,358000
2033,Men,80-84,148000
2033,Men,≥85,101000
2033,Women,0-4,713000
2033,Women,10-14,826000
2033,Women,15-19,812000
2033,Women,20-24,774000
2033,Women,25-29,792000
2033,Women,30-34,892000
2033,Women,35-39,960000
2033,Women,40-44,950000
2033,Women,45-49,882000
2033,Women,5-9,788000
2033,Women,50-54,807000
2033,Women,55-59,817000
2033,Women,60-64,1033000
2033,Women,65-69,890000
2033,Women,70-74,647000
2033,Women,75-79,456000
2033,Women,80-84,227000
2033,Women,≥85,217000
2034,Men,0-4,738000
2034,Men,10-14,869000
2034,Men,15-19,860000
2034,Men,20-24,813000
2034,Men,25-29,815000
2034,Men,30-34,903000
2034,Men,35-39,982000
2034,Men,40-44,981000
2034,Men,45-49,905000
2034,Men,5-9,819000
2034,Men,50-54,825000
2034,Men,55-59,772000
2034,Men,60-64,960000
2034,Men,65-69,850000
2034,Men,70-74,571000
2034,Men,75-79,387000
2034,Men,80-84,152000
2034,Men,≥85,103000
2034,Women,0-4,697000
2034,Women,10-14,822000
2034,Women,15-19,817000
2034,Women,20-24,775000
2034,Women,25-29,781000
2034,Women,30-34,870000
2034,Women,35-39,952000
2034,Women,40-44,959000
2034,Women,45-49,892000
2034,Women,5-9,774000
2034,Women,50-54,823000
2034,Women,55-59,785000
2034,Women,60-64,1002000
2034,Women,65-69,924000
2034,Women,70-74,664000
2034,Women,75-79,492000
2034,Women,80-84,227000
2034,Women,≥85,218000
2035,Men,0-4,724000
2035,Men,10-14,863000
2035,Men,15-19,865000
2035,Men,20-24,819000
2035,Men,25-29,809000
2035,Men,30-34,878000
2035,Men,35-39,969000
2035,Men,40-44,987000
2035,Men,45-49,917000
2035,Men,5-9,803000
2035,Men,50-54,841000
2035,Men,55-59,755000
2035,Men,60-64,920000
2035,Men,65-69,881000
2035,Men,70-74,595000
2035,Men,75-79,404000
2035,Men,80-84,162000
2035,Men,≥85,106000
2035,Women,0-4,683000
2035,Women,10-14,817000
2035,Women,15-19,821000
2035,Women,20-24,781000
2035,Women,25-29,775000
2035,Women,30-34,845000
2035,Women,35-39,939000
2035,Women,40-44,964000
2035,Women,45-49,903000
2035,Women,5-9,758000
2035,Women,50-54,837000
2035,Women,55-59,766000
2035,Women,60-64,959000
2035,Women,65-69,956000
2035,Women,70-74,690000
2035,Women,75-79,513000
2035,Women,80-84,236000
2035,Women,≥85,219000
2036,Men,0-4,710000
2036,Men,10-14,855000
2036,Men,15-19,868000
2036,Men,20-24,826000
2036,Men,25-29,806000
2036,Men,30-34,854000
2036,Men,35-39,954000
2036,Men,40-44,988000
2036,Men,45-49,930000
2036,Men,5-9,785000
2036,Men,50-54,853000
2036,Men,55-59,753000
2036,Men,60-64,871000
2036,Men,65-69,903000
2036,Men,70-74,625000
2036,Men,75-79,417000
2036,Men,80-84,178000
2036,Men,≥85,105000
2036,Women,0-4,671000
2036,Women,10-14,808000
2036,Women,15-19,823000
2036,Women,20-24,787000
2036,Women,25-29,771000
2036,Women,30-34,822000
2036,Women,35-39,924000
2036,Women,40-44,964000
2036,Women,45-49,916000
2036,Women,5-9,742000
2036,Women,50-54,850000
2036,Women,55-59,763000
2036,Women,60-64,907000
2036,Women,65-69,979000
2036,Women,70-74,723000
2036,Women,75-79,529000
2036,Women,80-84,255000
2036,Women,≥85,213000
2037,Men,0-4,698000
2037,Men,10-14,844000
2037,Men,15-19,869000
2037,Men,20-24,834000
2037,Men,25-29,803000
2037,Men,30-34,835000
2037,Men,35-39,936000
2037,Men,40-44,985000
2037,Men,45-49,944000
2037,Men,5-9,768000
2037,Men,50-54,863000
2037,Men,55-59,765000
2037,Men,60-64,812000
2037,Men,65-69,912000
2037,Men,70-74,667000
2037,Men,75-79,423000
2037,Men,80-84,203000
2037,Men,≥85,100000
2037,Women,0-4,660000
2037,Women,10-14,798000
2037,Women,15-19,824000
2037,Women,20-24,794000
2037,Women,25-29,768000
2037,Women,30-34,803000
2037,Women,35-39,906000
2037,Women,40-44,960000
2037,Women,45-49,929000
2037,Women,5-9,725000
2037,Women,50-54,859000
2037,Women,55-59,774000
2037,Women,60-64,844000
2037,Women,65-69,987000
2037,Women,70-74,768000
2037,Women,75-79,536000
2037,Women,80-84,290000
2037,Women,≥85,202000
2038,Men,0-4,689000
2038,Men,10-14,832000
2038,Men,15-19,867000
2038,Men,20-24,840000
2038,Men,25-29,802000
2038,Men,30-34,821000
2038,Men,35-39,917000
2038,Men,40-44,979000
2038,Men,45-49,956000
2038,Men,5-9,751000
2038,Men,50-54,874000
2038,Men,55-59,781000
2038,Men,60-64,761000
2038,Men,65-69,905000
2038,Men,70-74,705000
2038,Men,75-79,430000
2038,Men,80-84,232000
2038,Men,≥85,100000
2038,Women,0-4,650000
2038,Women,10-14,786000
2038,Women,15-19,822000
2038,Women,20-24,800000
2038,Women,25-29,767000
2038,Women,30-34,789000
2038,Women,35-39,888000
2038,Women,40-44,954000
2038,Women,45-49,940000
2038,Women,5-9,709000
2038,Women,50-54,869000
2038,Women,55-59,790000
2038,Women,60-64,790000
2038,Women,65-69,977000
2038,Women,70-74,809000
2038,Women,75-79,542000
2038,Women,80-84,330000
2038,Women,≥85,196000
2039,Men,0-4,681000
