sex,age_band,year,count,src
U,55-59,2033,320,extrap
U,60-64,2033,294,extrap
U,65-69,2033,272,extrap
U,70-74,2033,250,extrap
U,75-79,2033,202,extrap
U,>=80,2033,245,extrap
U,<5yr,2034,232,extrap
U,5-9,2034,235,extrap
U,10-14,2034,218,extrap
U,15-19,2034,218,extrap
U,20-24,2034,247,extrap
U,25-29,2034,363,extrap
U,30-34,2034,508,extrap
U,35-39,2034,547,extrap
U,40-44,2034,527,extrap
U,45-49,2034,446,extrap
U,50-54,2034,389,extrap
U,55-59,2034,341,extrap
U,60-64,2034,317,extrap
U,65-69,2034,286,extrap
U,70-74,2034,268,extrap
U,75-79,2034,221,extrap
U,>=80,2034,276,extrap
U,<5yr,2035,241,extrap
U,5-9,2035,250,extrap
U,10-14,2035,233,extrap
U,15-19,2035,231,extrap
U,20-24,2035,261,extrap
U,25-29,2035,349,extrap
U,30-34,2035,510,extrap
U,35-39,2035,575,extrap
U,40-44,2035,563,extrap
U,45-49,2035,490,extrap
U,50-54,2035,418,extrap
U,55-59,2035,367,extrap
U,60-64,2035,341,extrap
U,65-69,2035,301,extrap
U,70-74,2035,285,extrap
U,75-79,2035,239,extrap
U,>=80,2035,310,extrap
U,<5yr,2036,248,extrap
U,5-9,2036,263,extrap
U,10-14,2036,250,extrap
U,15-19,2036,242,extrap
U,20-24,2036,276,extrap
U,25-29,2036,336,extrap
U,30-34,2036,504,extrap
U,35-39,2036,598,extrap
U,40-44,2036,599,extrap
U,45-49,2036,536,extrap
U,50-54,2036,447,extrap
U,55-59,2036,395,extrap
U,60-64,2036,362,extrap
U,65-69,2036,319,extrap
U,70-74,2036,303,extrap
U,75-79,2036,258,extrap
U,>=80,2036,347,extrap
U,<5yr,2037,253,extrap
U,5-9,2037,275,extrap
U,10-14,2037,267,extrap
U,15-19,2037,254,extrap
U,20-24,2037,290,extrap
U,25-29,2037,327,extrap
U,30-34,2037,493,extrap
U,35-39,2037,617,extrap
U,40-44,2037,631,extrap
U,45-49,2037,581,extrap
U,50-54,2037,477,extrap
U,55-59,2037,423,extrap
U,60-64,2037,383,extrap
U,65-69,2037,340,extrap
U,70-74,2037,317,extrap
U,75-79,2037,275,extrap
U,>=80,2037,383,extrap
U,<5yr,2038,257,extrap
U,5-9,2038,285,extrap
U,10-14,2038,283,extrap
U,15-19,2038,268,extrap
U,20-24,2038,304,extrap
U,25-29,2038,325,extrap
U,30-34,2038,474,extrap
U,35-39,2038,627,extrap
U,40-44,2038,660,extrap
U,45-49,2038,622,extrap
U,50-54,2038,514,extrap
U,55-59,2038,454,extrap
U,60-64,2038,402,extrap
U,65-69,2038,365,extrap
U,70-74,2038,330,extrap
U,75-79,2038,291,extrap
U,>=80,2038,420,extrap
U,<5yr,2039,258,extrap
U,5-9,2039,294,extrap
U,10-14,2039,299,extrap
U,15-19,2039,282,extrap
U,20-24,2039,318,extrap
U,25-29,2039,331,extrap
U,30-34,2039,450,extrap
U,35-39,2039,631,extrap
U,40-44,2039,684,extrap
U,45-49,2039,659,extrap
U,50-54,2039,557,extrap
U,55-59,2039,483,extrap
U,60-64,2039,422,extrap
U,65-69,2039,389,extrap
U,70-74,2039,343,extrap
U,75-79,2039,308,extrap
U,>=80,2039,461,extrap
U,<5yr,2040,258,extrap
U,5-9,2040,301,extrap
U,10-14,2040,313,extrap
U,15-19,2040,299,extrap
U,20-24,2040,331,extrap
U,25-29,2040,342,extrap
U,30-34,2040,427,extrap
U,35-39,2040,627,extrap
U,40-44,2040,707,extrap
U,45-49,2040,695,extrap
U,50-54,2040,604,extrap
U,55-59,2040,515,extrap
U,60-64,2040,448,extrap
U,65-69,2040,411,extrap
U,70-74,2040,355,extrap
U,75-79,2040,325,extrap
U,>=80,2040,502,extrap
U,<5yr,2041,258,extrap
U,5-9,2041,307,extrap
U,10-14,2041,325,extrap
U,15-19,2041,317,extrap
U,20-24,2041,345,extrap
U,25-29,2041,357,extrap
U,30-34,2041,404,extrap
U,35-39,2041,611,extrap
U,40-44,2041,730,extrap
U,45-49,2041,730,extrap
U,50-54,2041,652,extrap
U,55-59,2041,543,extrap
U,60-64,2041,475,extrap
U,65-69,2041,433,extrap
U,70-74,2041,374,extrap
U,75-79,2041,340,extrap
U,>=80,2041,547,extrap
U,<5yr,2042,255,extrap
U,5-9,2042,310,extrap
U,10-14,2042,337,extrap
U,15-19,2042,333,extrap
U,20-24,2042,357,extrap
U,25-29,2042,372,extrap
U,30-34,2042,387,extrap
U,35-39,2042,589,extrap
U,40-44,2042,742,extrap
U,45-49,2042,760,extrap
U,50-54,2042,701,extrap
U,55-59,2042,573,extrap
U,60-64,2042,506,extrap
U,65-69,2042,452,extrap
U,70-74,2042,395,extrap
U,75-79,2042,355,extrap
U,>=80,2042,588,extrap
U,<5yr,2043,253,extrap
U,5-9,2043,309,extrap
U,10-14,2043,345,extrap
U,15-19,2043,350,extrap
U,20-24,2043,372,extrap
U,25-29,2043,384,extrap
U,30-34,2043,381,extrap
U,35-39,2043,561,extrap
U,40-44,2043,748,extrap
U,45-49,2043,787,extrap
U,50-54,2043,742,extrap
U,55-59,2043,610,extrap
U,60-64,2043,536,extrap
U,65-69,2043,470,extrap
U,70-74,2043,419,extrap
U,75-79,2043,367,extrap
U,>=80,2043,630,extrap
U,<5yr,2044,251,extrap
U,5-9,2044,309,extrap
U,10-14,2044,350,extrap
U,15-19,2044,364,extrap
U,20-24,2044,387,extrap
U,25-29,2044,397,extrap
U,30-34,2044,382,extrap
U,35-39,2044,525,extrap
U,40-44,2044,745,extrap
U,45-49,2044,808,extrap
U,50-54,2044,778,extrap
U,55-59,2044,656,extrap
U,60-64,2044,567,extrap
U,65-69,2044,489,extrap
U,70-74,2044,443,extrap
U,75-79,2044,376,extrap
U,>=80,2044,674,extrap
U,<5yr,2045,248,extrap
U,5-9,2045,305,extrap
U,10-14,2045,356,extrap
U,15-19,2045,377,extrap
U,20-24,2045,403,extrap
U,25-29,2045,410,extrap
U,30-34,2045,392,extrap
U,35-39,2045,491,extrap
U,40-44,2045,729,extrap
U,45-49,2045,827,extrap
U,50-54,2045,811,extrap
U,55-59,2045,702,extrap
U,60-64,2045,594,extrap
U,65-69,2045,514,extrap
U,70-74,2045,464,extrap
U,75-79,2045,387,extrap
U,>=80,2045,713,extrap
U,<5yr,2046,249,extrap
U,5-9,2046,301,extrap
U,10-14,2046,358,extrap
U,15-19,2046,390,extrap
U,20-24,2046,421,extrap
U,25-29,2046,422,extrap
U,30-34,2046,404,extrap
U,35-39,2046,460,extrap
U,40-44,2046,703,extrap
U,45-49,2046,841,extrap
U,50-54,2046,841,extrap
U,55-59,2046,749,extrap
U,60-64,2046,621,extrap
U,65-69,2046,540,extrap
U,70-74,2046,482,extrap
U,75-79,2046,402,extrap
U,>=80,2046,751,extrap
U,<5yr,2047,249,extrap
U,5-9,2047,295,extrap
U,10-14,2047,358,extrap
U,15-19,2047,397,extrap
U,20-24,2047,438,extrap
U,25-29,2047,432,extrap
U,30-34,2047,415,extrap
U,35-39,2047,435,extrap
U,40-44,2047,670,extrap
U,45-49,2047,849,extrap
U,50-54,2047,868,extrap
U,55-59,2047,798,extrap
U,60-64,2047,649,extrap
U,65-69,2047,568,extrap
U,70-74,2047,498,extrap
U,75-79,2047,421,extrap
U,>=80,2047,789,extrap
U,<5yr,2048,249,extrap
U,5-9,2048,290,extrap
U,10-14,2048,355,extrap
U,15-19,2048,406,extrap
U,20-24,2048,458,extrap
U,25-29,2048,446,extrap
U,30-34,2048,427,extrap
U,35-39,2048,424,extrap
U,40-44,2048,632,extrap
U,45-49,2048,845,extrap
U,50-54,2048,890,extrap
U,55-59,2048,838,extrap
U,60-64,2048,684,extrap
U,65-69,2048,597,extrap
U,70-74,2048,513,extrap
U,75-79,2048,442,extrap
U,>=80,2048,821,extrap
U,<5yr,2049,253,extrap
U,5-9,2049,285,extrap
U,10-14,2049,351,extrap
U,15-19,2049,409,extrap
U,20-24,2049,471,extrap
U,25-29,2049,462,extrap
U,30-34,2049,438,extrap
U,35-39,2049,421,extrap
U,40-44,2049,588,extrap
U,45-49,2049,836,extrap
U,50-54,2049,908,extrap
U,55-59,2049,870,extrap
U,60-64,2049,729,extrap
U,65-69,2049,624,extrap
U,70-74,2049,532,extrap
U,75-79,2049,465,extrap
U,>=80,2049,856,extrap
U,<5yr,2050,256,extrap
U,5-9,2050,282,extrap
U,10-14,2050,345,extrap
U,15-19,2050,411,extrap
U,20-24,2050,484,extrap
U,25-29,2050,477,extrap
U,30-34,2050,450,extrap
U,35-39,2050,428,extrap
U,40-44,2050,544,extrap
U,45-49,2050,812,extrap
U,50-54,2050,922,extrap
U,55-59,2050,901,extrap
U,60-64,2050,775,extrap
U,65-69,2050,651,extrap
U,70-74,2050,552,extrap
U,75-79,2050,482,extrap
U,>=80,2050,890,extrap
