sex,age_band,year,count,src
U,55-59,2048,9,pop_rate
U,60-64,2048,25,pop_rate
U,65-69,2048,48,pop_rate
U,70-74,2048,135,pop_rate
U,75-79,2048,378,pop_rate
U,>=80,2048,1608,pop_rate
U,50-54,2049,7,pop_rate
U,55-59,2049,9,pop_rate
U,60-64,2049,26,pop_rate
U,65-69,2049,49,pop_rate
U,70-74,2049,130,pop_rate
U,75-79,2049,367,pop_rate
U,>=80,2049,1686,pop_rate
U,50-54,2050,7,pop_rate
U,55-59,2050,9,pop_rate
U,60-64,2050,26,pop_rate
U,65-69,2050,50,pop_rate
U,70-74,2050,127,pop_rate
U,75-79,2050,352,pop_rate
U,>=80,2050,1763,pop_rate
