year,sex,age_band,population
2037,Women,35-39,906000
2037,Women,40-44,960000
2037,Women,45-49,929000
2037,Women,5-9,725000
2037,Women,50-54,859000
2037,Women,55-59,774000
2037,Women,60-64,844000
2037,Women,65-69,987000
2037,Women,70-74,768000
2037,Women,75-79,536000
2037,Women,80-84,290000
2037,Women,≥85,202000
2038,Men,0-4,689000
2038,Men,10-14,832000
2038,Men,15-19,867000
2038,Men,20-24,840000
2038,Men,25-29,802000
2038,Men,30-34,821000
2038,Men,35-39,917000
2038,Men,40-44,979000
2038,Men,45-49,956000
2038,Men,5-9,751000
2038,Men,50-54,874000
2038,Men,55-59,781000
2038,Men,60-64,761000
2038,Men,65-69,905000
2038,Men,70-74,705000
2038,Men,75-79,430000
2038,Men,80-84,232000
2038,Men,≥85,100000
2038,Women,0-4,650000
2038,Women,10-14,786000
2038,Women,15-19,822000
2038,Women,20-24,800000
2038,Women,25-29,767000
2038,Women,30-34,789000
2038,Women,35-39,888000
2038,Women,40-44,954000
2038,Women,45-49,940000
2038,Women,5-9,709000
2038,Women,50-54,869000
2038,Women,55-59,790000
2038,Women,60-64,790000
2038,Women,65-69,977000
2038,Women,70-74,809000
2038,Women,75-79,542000
2038,Women,80-84,330000
2038,Women,≥85,196000
2039,Men,0-4,681000
2039,Men,10-14,817000
2039,Men,15-19,864000
2039,Men,20-24,846000
2039,Men,25-29,804000
2039,Men,30-34,811000
2039,Men,35-39,895000
2039,Men,40-44,970000
2039,Men,45-49,966000
2039,Men,5-9,735000
2039,Men,50-54,884000
2039,Men,55-59,796000
2039,Men,60-64,733000
2039,Men,65-69,879000
2039,Men,70-74,735000
2039,Men,75-79,444000
2039,Men,80-84,251000
2039,Men,≥85,104000
2039,Women,0-4,643000
2039,Women,10-14,772000
2039,Women,15-19,818000
2039,Women,20-24,805000
2039,Women,25-29,768000
2039,Women,30-34,779000
2039,Women,35-39,866000
2039,Women,40-44,945000
2039,Women,45-49,949000
2039,Women,5-9,694000
2039,Women,50-54,879000
2039,Women,55-59,805000
2039,Women,60-64,759000
2039,Women,65-69,947000
2039,Women,70-74,841000
2039,Women,75-79,558000
2039,Women,80-84,356000
2039,Women,≥85,199000
2040,Men,0-4,675000
2040,Men,10-14,800000
2040,Men,15-19,858000
