year,age,population
2028,13,45400
2028,14,45400
2028,15,47600
2028,16,47600
2028,17,47600
2028,18,47600
2028,19,47600
2028,20,82800
2028,21,82800
2028,22,82800
2028,23,82800
2028,24,82800
2028,25,115000
2028,26,115000
2028,27,115000
2028,28,115000
2028,29,115000
2028,30,120600
2028,31,120600
2028,32,120600
2028,33,120600
2028,34,120600
2028,35,113400
2028,36,113400
2028,37,113400
2028,38,113400
2028,39,113400
2028,40,93800
2028,41,93800
2028,42,93800
2028,43,93800
2028,44,93800
2028,45,83200
2028,46,83200
2028,47,83200
2028,48,83200
2028,49,83200
2028,50,74400
2028,51,74400
2028,52,74400
2028,53,74400
2028,54,74400
2028,55,68600
2028,56,68600
2028,57,68600
2028,58,68600
2028,59,68600
2028,60,64400
2028,61,64400
2028,62,64400
2028,63,64400
2028,64,64400
2028,65,60400
2028,66,60400
2028,67,60400
2028,68,60400
2028,69,60400
2028,70,51000
2028,71,51000
2028,72,51000
2028,73,51000
2028,74,51000
2028,75,37400
2028,76,37400
2028,77,37400
2028,78,37400
2028,79,37400
2028,80,21400
2028,81,21400
2028,82,21400
2028,83,21400
2028,84,21400
2028,85,11800
2028,86,11800
2028,87,11800
2028,88,11800
2028,89,11800
2028,90,5200
2028,91,5200
2028,92,5200
2028,93,5200
2028,94,5200
2028,95,1600
2028,96,1600
2028,97,1600
2028,98,1600
2028,99,1600
2028,100,200
2028,101,200
2028,102,200
2028,103,200
2028,104,200
2029,0,50800
2029,1,50800
2029,2,50800
2029,3,50800
2029,4,50800
2029,5,47000
2029,6,47000
2029,7,47000
2029,8,47000
2029,9,47000
2029,10,45800
2029,11,45800
2029,12,45800
2029,13,45800
2029,14,45800
2029,15,46200
2029,16,46200
2029,17,46200
2029,18,46200
2029,19,46200
2029,20,75600
2029,21,75600
2029,22,75600
2029,23,75600
2029,24,75600
2029,25,111200
2029,26,111200
2029,27,111200
2029,28,111200
2029,29,111200
2029,30,120200
2029,31,120200
2029,32,120200
2029,33,120200
2029,34,120200
2029,35,115400
2029,36,115400
2029,37,115400
2029,38,115400
2029,39,115400
2029,40,97600
2029,41,97600
2029,42,97600
2029,43,97600
2029,44,97600
2029,45,85200
2029,46,85200
2029,47,85200
2029,48,85200
2029,49,85200
2029,50,75200
2029,51,75200
2029,52,75200
2029,53,75200
2029,54,75200
2029,55,70400
2029,56,70400
2029,57,70400
2029,58,70400
2029,59,70400
2029,60,64200
2029,61,64200
2029,62,64200
2029,63,64200
2029,64,64200
2029,65,61200
2029,66,61200
2029,67,61200
2029,68,61200
2029,69,61200
2029,70,52800
2029,71,52800
2029,72,52800
2029,73,52800
2029,74,52800
2029,75,39000
2029,76,39000
2029,77,39000
2029,78,39000
2029,79,39000
2029,80,24000
2029,81,24000
2029,82,24000
2029,83,24000
2029,84,24000
2029,85,11800
2029,86,11800
2029,87,11800
2029,88,11800
2029,89,11800
2029,90,5400
2029,91,5400
2029,92,5400
2029,93,5400
2029,94,5400
2029,95,1600
2029,96,1600
2029,97,1600
2029,98,1600
2029,99,1600
2029,100,200
2029,101,200
2029,102,200
2029,103,200
2029,104,200
2030,0,51200
2030,1,51200
2030,2,51200
2030,3,51200
2030,4,51200
2030,5,47600
2030,6,47600
2030,7,47600
2030,8,47600
2030,9,47600
2030,10,46000
2030,11,46000
2030,12,46000
2030,13,46000
2030,14,46000
2030,15,46000
2030,16,46000
2030,17,46000
2030,18,46000
2030,19,46000
2030,20,68600
2030,21,68600
2030,22,68600
2030,23,68600
2030,24,68600
2030,25,106200
2030,26,106200
2030,27,106200
2030,28,106200
2030,29,106200
2030,30,119600
2030,31,119600
2030,32,119600
2030,33,119600
2030,34,119600
2030,35,117000
2030,36,117000
2030,37,117000
2030,38,117000
2030,39,117000
2030,40,101600
2030,41,101600
2030,42,101600
2030,43,101600
2030,44,101600
2030,45,87000
2030,46,87000
2030,47,87000
2030,48,87000
2030,49,87000
2030,50,76600
2030,51,76600
2030,52,76600
2030,53,76600
2030,54,76600
2030,55,71600
2030,56,71600
2030,57,71600
2030,58,71600
2030,59,71600
2030,60,64000
2030,61,64000
2030,62,64000
2030,63,64000
2030,64,64000
2030,65,61800
2030,66,61800
2030,67,61800
2030,68,61800
2030,69,61800
2030,70,54000
2030,71,54000
2030,72,54000
2030,73,54000
2030,74,54000
2030,75,40800
2030,76,40800
2030,77,40800
2030,78,40800
2030,79,40800
2030,80,26600
2030,81,26600
2030,82,26600
2030,83,26600
2030,84,26600
2030,85,11800
2030,86,11800
2030,87,11800
2030,88,11800
2030,89,11800
2030,90,6000
2030,91,6000
2030,92,6000
2030,93,6000
2030,94,6000
2030,95,2000
2030,96,2000
2030,97,2000
2030,98,2000
2030,99,2000
2030,100,200
2030,101,200
2030,102,200
2030,103,200
2030,104,200
2031,0,51400
2031,1,51400
2031,2,51400
2031,3,51400
2031,4,51400
2031,5,48600
2031,6,48600
2031,7,48600
2031,8,48600
2031,9,48600
2031,10,46000
2031,11,46000
2031,12,46000
2031,13,46000
2031,14,46000
2031,15,46400
2031,16,46400
2031,17,46400
2031,18,46400
2031,19,46400
2031,20,62600
2031,21,62600
2031,22,62600
2031,23,62600
2031,24,62600
2031,25,100000
2031,26,100000
2031,27,100000
2031,28,100000
2031,29,100000
2031,30,118400
2031,31,118400
2031,32,118400
2031,33,118400
2031,34,118400
2031,35,118400
2031,36,118400
2031,37,118400
2031,38,118400
2031,39,118400
2031,40,105800
2031,41,105800
2031,42,105800
2031,43,105800
2031,44,105800
2031,45,88400
2031,46,88400
2031,47,88400
2031,48,88400
2031,49,88400
2031,50,78400
2031,51,78400
2031,52,78400
2031,53,78400
2031,54,78400
2031,55,72600
2031,56,72600
2031,57,72600
2031,58,72600
2031,59,72600
2031,60,64600
2031,61,64600
2031,62,64600
2031,63,64600
2031,64,64600
2031,65,62400
2031,66,62400
2031,67,62400
2031,68,62400
2031,69,62400
2031,70,55200
2031,71,55200
2031,72,55200
2031,73,55200
2031,74,55200
2031,75,42800
2031,76,42800
2031,77,42800
2031,78,42800
2031,79,42800
2031,80,28800
2031,81,28800
2031,82,28800
2031,83,28800
2031,84,28800
2031,85,12400
2031,86,12400
2031,87,12400
2031,88,12400
2031,89,12400
2031,90,6400
2031,91,6400
2031,92,6400
2031,93,6400
2031,94,6400
2031,95,2000
2031,96,2000
2031,97,2000
2031,98,2000
2031,99,2000
2031,100,400
2031,101,400
2031,102,400
2031,103,400
2031,104,400
2032,0,51200
2032,1,51200
2032,2,51200
2032,3,51200
2032,4,51200
2032,5,49800
2032,6,49800
2032,7,49800
2032,8,49800
2032,9,49800
2032,10,46000
2032,11,46000
2032,12,46000
2032,13,46000
2032,14,46000
2032,15,46800
2032,16,46800
2032,17,46800
2032,18,46800
2032,19,46800
2032,20,58000
2032,21,58000
2032,22,58000
2032,23,58000
2032,24,58000
2032,25,93400
2032,26,93400
2032,27,93400
2032,28,93400
2032,29,93400
2032,30,116600
2032,31,116600
2032,32,116600
2032,33,116600
2032,34,116600
2032,35,119200
2032,36,119200
2032,37,119200
2032,38,119200
2032,39,119200
2032,40,109800
2032,41,109800
2032,42,109800
2032,43,109800
2032,44,109800
2032,45,90000
2032,46,90000
2032,47,90000
2032,48,90000
2032,49,90000
2032,50,80400
2032,51,80400
2032,52,80400
2032,53,80400
2032,54,80400
2032,55,73000
2032,56,73000
2032,57,73000
2032,58,73000
2032,59,73000
2032,60,65800
2032,61,65800
2032,62,65800
