procedure,year,sex,age_band,count,population,risk
tavi,2024,Women,25-29,0,270000,0.0
tavi,2024,Women,30-34,0,268000,0.0
tavi,2024,Women,35-39,0,233000,0.0
tavi,2024,Women,40-44,0,208000,0.0
tavi,2024,Women,45-49,1,186000,5.376344086021505e-06
tavi,2024,Women,5-9,0,111000,0.0
tavi,2024,Women,50-54,0,175000,0.0
tavi,2024,Women,55-59,2,161000,1.2422360248447205e-05
tavi,2024,Women,60-64,1,156000,6.41025641025641e-06
tavi,2024,Women,65-69,11,142000,7.746478873239437e-05
tavi,2024,Women,70-74,13,113000,0.00011504424778761063
tavi,2024,Women,75-79,17,78000,0.00021794871794871795
tavi,2024,Women,<5yr,0,0,0.0
tavi,2024,Women,>=80,15,98000,0.0001530612244897959
