year,age,sex,population
2023,94,Men,1400
2023,95,Men,200
2023,96,Men,200
2023,97,Men,200
2023,98,Men,200
2023,99,Men,200
2024,0,Men,175200
2024,1,Men,175200
2024,2,Men,175200
2024,3,Men,175200
2024,4,Men,175200
2024,5,Men,173800
2024,6,Men,173800
2024,7,Men,173800
2024,8,Men,173800
2024,9,Men,173800
2024,10,Men,166400
2024,11,Men,166400
2024,12,Men,166400
2024,13,Men,166400
2024,14,Men,166400
2024,15,Men,168000
2024,16,Men,168000
2024,17,Men,168000
2024,18,Men,168000
2024,19,Men,168000
2024,20,Men,183800
2024,21,Men,183800
2024,22,Men,183800
2024,23,Men,183800
2024,24,Men,183800
2024,25,Men,199400
2024,26,Men,199400
2024,27,Men,199400
2024,28,Men,199400
2024,29,Men,199400
2024,30,Men,200400
2024,31,Men,200400
2024,32,Men,200400
2024,33,Men,200400
2024,34,Men,200400
2024,35,Men,186400
2024,36,Men,186400
2024,37,Men,186400
2024,38,Men,186400
2024,39,Men,186400
2024,40,Men,172200
2024,41,Men,172200
2024,42,Men,172200
2024,43,Men,172200
2024,44,Men,172200
2024,45,Men,164600
2024,46,Men,164600
2024,47,Men,164600
2024,48,Men,164600
2024,49,Men,164600
2024,50,Men,211000
2024,51,Men,211000
2024,52,Men,211000
2024,53,Men,211000
2024,54,Men,211000
2024,55,Men,197000
2024,56,Men,197000
2024,57,Men,197000
2024,58,Men,197000
2024,59,Men,197000
2024,60,Men,146400
2024,61,Men,146400
2024,62,Men,146400
2024,63,Men,146400
2024,64,Men,146400
2024,65,Men,117600
2024,66,Men,117600
2024,67,Men,117600
2024,68,Men,117600
2024,69,Men,117600
2024,70,Men,63600
2024,71,Men,63600
2024,72,Men,63600
2024,73,Men,63600
2024,74,Men,63600
2024,75,Men,54200
2024,76,Men,54200
2024,77,Men,54200
2024,78,Men,54200
2024,79,Men,54200
2024,80,Men,29600
2024,81,Men,29600
2024,82,Men,29600
2024,83,Men,29600
2024,84,Men,29600
2024,85,Men,10200
2024,86,Men,10200
2024,87,Men,10200
2024,88,Men,10200
2024,89,Men,10200
2024,90,Men,1600
2024,91,Men,1600
2024,92,Men,1600
2024,93,Men,1600
2024,94,Men,1600
2024,95,Men,200
2024,96,Men,200
2024,97,Men,200
2024,98,Men,200
2024,99,Men,200
2025,0,Men,174000
2025,1,Men,174000
2025,2,Men,174000
2025,3,Men,174000
2025,4,Men,174000
2025,5,Men,174600
2025,6,Men,174600
2025,7,Men,174600
2025,8,Men,174600
2025,9,Men,174600
2025,10,Men,167800
2025,11,Men,167800
2025,12,Men,167800
2025,13,Men,167800
2025,14,Men,167800
2025,15,Men,166800
2025,16,Men,166800
2025,17,Men,166800
2025,18,Men,166800
2025,19,Men,166800
2025,20,Men,178600
2025,21,Men,178600
